Bölge Müdürlüğü,Şube Kodu,Segment Kodu Tanım,Ürün Aile Adı,Ürün Grup Adı,Ana Ürün Adı,Bireysel Ticari,Ana Skont,Tarih,Kullandirim Tutari (Orj),Kullandirim Tutari - TL,Risk Bakiyesi,Doviz Cinsi
A Bölge Müdürlüğü,IT-592-053,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2016-12-30,568650,568650,789477,TL
E Bölge Müdürlüğü,IT-592-095,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-02-23,240745,240745,1084467,TL
B Bölge Müdürlüğü,IT-592-067,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-03-20,2261611,2261611,253875,TL
E Bölge Müdürlüğü,IT-592-085,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-03-30,3862404,3862404,811163,TL
E Bölge Müdürlüğü,IT-592-061,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-04-29,351360,351360,763417,TL
B Bölge Müdürlüğü,IT-592-058,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-06-02,3336972,3336972,554173,TL
A Bölge Müdürlüğü,IT-592-066,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-07-07,325590,325590,4489488,TL
E Bölge Müdürlüğü,IT-592-061,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-08-03,438750,438750,2573873,TL
A Bölge Müdürlüğü,IT-592-006,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-08-14,232000,232000,420208,TL
C Bölge Müdürlüğü,IT-592-080,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-10-25,75000,75000,89245,TL
B Bölge Müdürlüğü,IT-592-021,Kobi,Nakdi Krediler,Adatlı Krediler,BCH,T,118110,2016-05-18,440000,440000,534496,TL
E Bölge Müdürlüğü,IT-592-096,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-13,450000,450000,891074,TL
E Bölge Müdürlüğü,IT-592-004,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-15,450000,450000,73496,TL
D Bölge Müdürlüğü,IT-592-014,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-07,520000,520000,2134111,TL
C Bölge Müdürlüğü,IT-592-050,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-07-26,350000,350000,906349,TL
A Bölge Müdürlüğü,IT-592-020,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-12-23,440000,440000,1748212,TL
C Bölge Müdürlüğü,IT-592-040,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2016-01-13,3358893,3358893,733483,TL
D Bölge Müdürlüğü,IT-592-077,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2016-03-07,5307367,5307367,660355,TL
A Bölge Müdürlüğü,IT-592-076,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2016-04-07,200000,200000,465636,TL
A Bölge Müdürlüğü,IT-592-042,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2016-06-14,412800,412800,76873,TL
B Bölge Müdürlüğü,IT-592-021,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2016-07-11,75000,75000,132897,TL
E Bölge Müdürlüğü,IT-592-095,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2016-07-26,2343014,2343014,25804,TL
C Bölge Müdürlüğü,IT-592-078,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Dış Kaynaklı Kredi,T,140302,2016-01-15,1500000,1500000,1672776,TL
A Bölge Müdürlüğü,IT-592-010,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-08-17,13782588,13782588,1698297,TL
D Bölge Müdürlüğü,IT-592-008,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-11-17,11478273,11478273,3660551,TL
B Bölge Müdürlüğü,IT-592-000,Ticari,Nakdi Krediler,Adatlı Krediler,BCH,T,118110,2015-04-16,800000,800000,1669792,TL
E Bölge Müdürlüğü,IT-592-009,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-01-15,15000000,15000000,27709081,TL
E Bölge Müdürlüğü,IT-592-094,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-02-09,20000000,20000000,20757455,TL
E Bölge Müdürlüğü,IT-592-098,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-03-11,20000000,20000000,31307218,TL
B Bölge Müdürlüğü,IT-592-026,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-04-10,20000000,20000000,21408602,TL
B Bölge Müdürlüğü,IT-592-079,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-03-23,1500000,1500000,12469608,TL
