Bölge Müdürlüğü,Şube Kodu,Segment Kodu Tanım,Ürün Aile Adı,Ürün Grup Adı,Ana Ürün Adı,Bireysel Ticari,Ana Skont,Tarih,Kullandirim Tutari (Orj),Kullandirim Tutari - TL,Risk Bakiyesi,Doviz Cinsi
A Bölge Müdürlüğü,IT-592-036,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910111,2015-02-13,34000,34000,35184,TL
A Bölge Müdürlüğü,IT-592-018,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910111,2015-02-18,10000,10000,1788,TL
A Bölge Müdürlüğü,IT-592-068,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910111,2016-02-08,97000,97000,182571,TL
A Bölge Müdürlüğü,IT-592-066,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-11-11,1900000,1900000,2278038,TL
A Bölge Müdürlüğü,IT-592-006,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-08-03,1500000,1500000,1828341,TL
A Bölge Müdürlüğü,IT-592-038,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-12-21,50000000,50000000,7184426,TL
A Bölge Müdürlüğü,IT-592-054,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-29,15860000,15860000,22564027,TL
A Bölge Müdürlüğü,IT-592-076,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2017-01-05,35000000,35000000,83192646,TL
A Bölge Müdürlüğü,IT-592-024,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-03-31,11945645,11945645,572915,TL
A Bölge Müdürlüğü,IT-592-010,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-06-30,12516408,12516408,1762591,TL
A Bölge Müdürlüğü,IT-592-100,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-09-30,563350,563350,923731,TL
A Bölge Müdürlüğü,IT-592-024,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-10-31,12070617,12070617,1278875,TL
A Bölge Müdürlüğü,IT-592-042,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,112111,2017-01-05,20000000,20000000,31762062,TL
A Bölge Müdürlüğü,IT-592-005,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-04-26,6439383,6439383,665059,TL
A Bölge Müdürlüğü,IT-592-020,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-06-22,8385300,253185748,27161238,EUR
A Bölge Müdürlüğü,IT-592-065,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-07-24,257597496,757671515,758730588,EUR
A Bölge Müdürlüğü,IT-592-072,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-08-14,245279502,760366456,7784567,EUR
A Bölge Müdürlüğü,IT-592-037,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-09-17,10184928,33811924,111282567,EUR
A Bölge Müdürlüğü,IT-592-053,Ticari,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,141505,2015-04-17,30000000,85284000,85852166,EUR
A Bölge Müdürlüğü,IT-592-064,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-09-18,336000,994560,1007417,USD
A Bölge Müdürlüğü,IT-592-011,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-10-16,9963200,322259704,34325392,EUR
A Bölge Müdürlüğü,IT-592-068,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-12-08,210033486,649780596,159647978,EUR
B Bölge Müdürlüğü,IT-592-079,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-01-06,1890000,5556600,17638667,USD
B Bölge Müdürlüğü,IT-592-056,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-01-20,3780000,11302200,40287711,USD
B Bölge Müdürlüğü,IT-592-002,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-01-20,20428200,61080318,209592656,USD
B Bölge Müdürlüğü,IT-592-092,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-02-18,86547474,27974740,35276737,EUR
B Bölge Müdürlüğü,IT-592-028,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-04-22,2682000,106644366,35426808,GBP
B Bölge Müdürlüğü,IT-592-025,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-05-12,290884152,964746379,196425036,EUR
B Bölge Müdürlüğü,IT-592-016,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-06-13,293854912,950179858,11812595,EUR
B Bölge Müdürlüğü,IT-592-075,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-07-26,183337154,589355615,2017550327,EUR
B Bölge Müdürlüğü,IT-592-074,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-10-17,18208190,60600498,75700393,EUR
B Bölge Müdürlüğü,IT-592-091,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-11-17,183727544,63694665,672053333,EUR
B Bölge Müdürlüğü,IT-592-007,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2016-12-16,29496480,1052965343,232448136,EUR
B Bölge Müdürlüğü,IT-592-074,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-01-26,580000,580000,1360729,TL
A Bölge Müdürlüğü,IT-592-068,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-02-02,350000,350000,494398,TL
B Bölge Müdürlüğü,IT-592-026,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-03-02,1000000,1000000,7997101,TL
B Bölge Müdürlüğü,IT-592-030,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-03-23,460000,460000,54895,TL
B Bölge Müdürlüğü,IT-592-007,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-03-30,500000,500000,3125804,TL
B Bölge Müdürlüğü,IT-592-067,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-01-25,610000,610000,19166174,TL
B Bölge Müdürlüğü,IT-592-089,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-01,765000,765000,95221165,TL
B Bölge Müdürlüğü,IT-592-084,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-22,790000,790000,980293,TL
B Bölge Müdürlüğü,IT-592-031,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-29,1130000,1130000,1361584,TL
A Bölge Müdürlüğü,IT-592-018,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-03-28,725000,725000,1522927,TL
B Bölge Müdürlüğü,IT-592-084,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-03-30,650000,650000,1171209,TL
B Bölge Müdürlüğü,IT-592-021,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-25,660000,660000,932706,TL
B Bölge Müdürlüğü,IT-592-058,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-05-02,1350000,1350000,5782003,TL
B Bölge Müdürlüğü,IT-592-000,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-05-23,450000,450000,728372,TL
B Bölge Müdürlüğü,IT-592-025,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-05-30,520000,520000,1824377,TL
A Bölge Müdürlüğü,IT-592-011,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-08-01,1200000,1200000,2234904,TL
C Bölge Müdürlüğü,IT-592-017,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-09-30,550000,550000,1553455,TL
C Bölge Müdürlüğü,IT-592-070,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-10-31,600000,600000,600388,TL
B Bölge Müdürlüğü,IT-592-002,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2017-01-02,950000,950000,1853326,TL
C Bölge Müdürlüğü,IT-592-043,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-05-22,4000000,4000000,4272148,TL
C Bölge Müdürlüğü,IT-592-073,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2016-06-27,4000000,4000000,7327842,TL
C Bölge Müdürlüğü,IT-592-097,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2015-07-14,89500,2557821,678108,EUR
C Bölge Müdürlüğü,IT-592-086,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2016-01-18,336000,1093848,150582,EUR
B Bölge Müdürlüğü,IT-592-056,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2016-01-29,253890,8153931,947227,EUR
C Bölge Müdürlüğü,IT-592-029,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2016-06-03,74625,2408223,99551,EUR
C Bölge Müdürlüğü,IT-592-078,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2016-09-09,144870,4738118,1040061,EUR
C Bölge Müdürlüğü,IT-592-069,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-05-31,9076206,9076206,3814058,TL
B Bölge Müdürlüğü,IT-592-026,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-05-31,9076206,9076206,1383953,TL
C Bölge Müdürlüğü,IT-592-057,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-12-26,15568335,15568335,58714283,TL
C Bölge Müdürlüğü,IT-592-073,Ticari,Nakdi Krediler,Taksitli Ticari Krediler,Aracılık Edilen Krediler,T,112111,2016-06-28,10000000,10000000,11694227,TL
C Bölge Müdürlüğü,IT-592-080,Kobi,Nakdi Krediler,Yapılandırma Kredileri,Ticari Yapılandırma Kredisi,T,140302,2015-05-21,1041240,1041240,16048226,TL
A Bölge Müdürlüğü,IT-592-064,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-04-29,2747500,2747500,4070948,TL
C Bölge Müdürlüğü,IT-592-087,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-03-30,40000000,40000000,4459877566,TL
A Bölge Müdürlüğü,IT-592-038,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-05-18,7500000,7500000,8920811,TL
C Bölge Müdürlüğü,IT-592-078,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-05-21,5800000,5800000,7700586,TL
B Bölge Müdürlüğü,IT-592-025,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-05-25,40000,40000,59535,TL
C Bölge Müdürlüğü,IT-592-017,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-05-26,5850000,5850000,7203125,TL
B Bölge Müdürlüğü,IT-592-075,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-12-28,7866514,7866514,2303869,TL
A Bölge Müdürlüğü,IT-592-036,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-12-29,16556411,16556411,6596696,TL
C Bölge Müdürlüğü,IT-592-097,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-02-19,170000,170000,291543,TL
B Bölge Müdürlüğü,IT-592-025,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-07-13,1000000,1000000,24467862,TL
A Bölge Müdürlüğü,IT-592-005,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-08-04,2000000,2000000,7612215,TL
C Bölge Müdürlüğü,IT-592-060,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-01-06,1500000,1500000,2921735,TL
C Bölge Müdürlüğü,IT-592-034,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-09-03,3000000,3000000,6469014,TL
C Bölge Müdürlüğü,IT-592-040,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-19,2000000,2000000,271279,TL
C Bölge Müdürlüğü,IT-592-023,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-11-03,3000000,3000000,5915301,TL
A Bölge Müdürlüğü,IT-592-072,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-12-01,3000000,3000000,3397921,TL
A Bölge Müdürlüğü,IT-592-076,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-05-15,2500000,2500000,2735581,TL
B Bölge Müdürlüğü,IT-592-026,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-06-29,2500000,2500000,4204713,TL
C Bölge Müdürlüğü,IT-592-050,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-01-05,2500000,2500000,7886243,TL
C Bölge Müdürlüğü,IT-592-017,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Dış Kaynaklı Kredi,T,140302,2015-08-04,6000000,6000000,169293622,TL
A Bölge Müdürlüğü,IT-592-076,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Dış Kaynaklı Kredi,T,140302,2015-08-06,1500000,1500000,2302516,TL
C Bölge Müdürlüğü,IT-592-081,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-01,1000000,1000000,1217013,TL
B Bölge Müdürlüğü,IT-592-067,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-08,2000000,2000000,3463129,TL
C Bölge Müdürlüğü,IT-592-046,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-08-04,2500000,2500000,2521147,TL
A Bölge Müdürlüğü,IT-592-066,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-10-10,1000000,1000000,1221729,TL
C Bölge Müdürlüğü,IT-592-049,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-12-01,500000,500000,54784,TL
D Bölge Müdürlüğü,IT-592-077,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-05-12,2500000,2500000,2510771,TL
B Bölge Müdürlüğü,IT-592-091,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-06-28,2500000,2500000,3184431,TL
C Bölge Müdürlüğü,IT-592-017,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-11-30,530550,530550,779701,TL
B Bölge Müdürlüğü,IT-592-000,Kobi,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-04-26,13224792,13224792,3235875,TL
B Bölge Müdürlüğü,IT-592-031,Kobi,Nakdi Krediler,Adatlı Krediler,BCH,T,118111,2015-02-10,2000000,4860000,10021502,USD
A Bölge Müdürlüğü,IT-592-024,Kobi,Nakdi Krediler,Adatlı Krediler,BCH,T,118111,2015-02-17,500000,1205000,1962749,USD
D Bölge Müdürlüğü,IT-592-088,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910111,2015-02-13,1977957,1977957,281123,TL
A Bölge Müdürlüğü,IT-592-053,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Aracılık Edilen Krediler,T,113111,2016-01-29,2000000,6423200,19271052,EUR
D Bölge Müdürlüğü,IT-592-045,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-05-08,41044619,107947348,143528418,USD
C Bölge Müdürlüğü,IT-592-046,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Akreditif,T,93100,2015-08-25,81826760,2348428012,274413399,USD
D Bölge Müdürlüğü,IT-592-088,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2015-07-29,12825000,34755750,107884597,USD
C Bölge Müdürlüğü,IT-592-034,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2015-08-14,380250,1057095,2274275,USD
A Bölge Müdürlüğü,IT-592-005,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2015-08-17,245000,683550,747251,USD
D Bölge Müdürlüğü,IT-592-044,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,İhracat Teyidi,T,93110,2015-08-25,554400,1591128,2227317,USD
C Bölge Müdürlüğü,IT-592-017,Ticari,Nakdi Krediler,Adatlı Krediler,BCH,T,15830,2016-10-03,1521580047,1521580047,384590189,TL
D Bölge Müdürlüğü,IT-592-012,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,113111,2015-02-11,70000000,170100000,996474283,USD
B Bölge Müdürlüğü,IT-592-058,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-03-02,110139964,110139964,230767388,TL
A Bölge Müdürlüğü,IT-592-068,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-08-31,32836375,32836375,9807947,TL
C Bölge Müdürlüğü,IT-592-023,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2015-08-31,98509124,98509124,29054165,TL
A Bölge Müdürlüğü,IT-592-024,Ticari,Nakdi Krediler,Taksitli Ticari Krediler,Aracılık Edilen Krediler,T,112111,2016-04-26,10000000,10000000,2260276,TL
D Bölge Müdürlüğü,IT-592-082,Ticari,Nakdi Krediler,Taksitli Ticari Krediler,Aracılık Edilen Krediler,T,112111,2016-04-26,10000000,10000000,181271332,TL
D Bölge Müdürlüğü,IT-592-001,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-09-09,378000,12362868,1341739,EUR
B Bölge Müdürlüğü,IT-592-030,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-09-09,1462500,47832525,15225353,EUR
D Bölge Müdürlüğü,IT-592-047,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-12-23,378000,13622742,1283918,EUR
B Bölge Müdürlüğü,IT-592-021,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-07-26,320000,320000,354435,TL
D Bölge Müdürlüğü,IT-592-077,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-09-09,146000,146000,365445,TL
C Bölge Müdürlüğü,IT-592-043,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-09-29,630000,630000,1230273,TL
D Bölge Müdürlüğü,IT-592-047,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-10-03,142000,142000,152067,TL
A Bölge Müdürlüğü,IT-592-018,Ticari,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-07-01,15000000,15000000,45170373,TL
D Bölge Müdürlüğü,IT-592-062,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-08-01,7802712,7802712,11248295,TL
D Bölge Müdürlüğü,IT-592-013,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-08-31,65265413,65265413,22375257,TL
A Bölge Müdürlüğü,IT-592-011,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-10-31,91870834,91870834,35785093,TL
D Bölge Müdürlüğü,IT-592-012,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-11-30,72507801,72507801,8975944,TL
A Bölge Müdürlüğü,IT-592-072,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-11-29,6000000,21375600,71744273,EUR
D Bölge Müdürlüğü,IT-592-099,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-11-30,12000000,12000000,40725198,TL
A Bölge Müdürlüğü,IT-592-005,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-06-27,57647323,57647323,21846537,TL
B Bölge Müdürlüğü,IT-592-091,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-07-27,61824216,61824216,22663183,TL
A Bölge Müdürlüğü,IT-592-072,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-07-27,61824216,61824216,5108476,TL
A Bölge Müdürlüğü,IT-592-037,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-09-26,47278073,47278073,42572911,TL
A Bölge Müdürlüğü,IT-592-068,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-10-26,15801293,15801293,216263,TL
A Bölge Müdürlüğü,IT-592-072,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-10-26,47403876,47403876,7909853,TL
D Bölge Müdürlüğü,IT-592-013,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-11-28,57256001,57256001,2071999,TL
B Bölge Müdürlüğü,IT-592-079,Ticari,Nakdi Krediler,Adatlı Krediler,Spot Kredi,T,118110,2016-12-26,49611375,49611375,7231407,TL
A Bölge Müdürlüğü,IT-592-006,Ticari,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,141505,2016-09-07,22100000,71380790,72830679,EUR
D Bölge Müdürlüğü,IT-592-093,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-05-14,618750,18149175,6853178,EUR
B Bölge Müdürlüğü,IT-592-025,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-05-14,135000,395982,693264,EUR
A Bölge Müdürlüğü,IT-592-066,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-05-21,7110000,19920087,2574098,EUR
C Bölge Müdürlüğü,IT-592-057,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-06-25,402750,11811852,1797326,EUR
B Bölge Müdürlüğü,IT-592-056,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-06-25,312750,9172332,7935868,EUR
C Bölge Müdürlüğü,IT-592-049,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-09-14,1469292,49814876,5287258,EUR
A Bölge Müdürlüğü,IT-592-068,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-09-14,1469292,49814876,11871225,EUR
B Bölge Müdürlüğü,IT-592-056,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-09-14,1557000,52788528,9872934,EUR
D Bölge Müdürlüğü,IT-592-052,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-09-17,1557000,51689286,6185263,EUR
D Bölge Müdürlüğü,IT-592-019,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-11-11,350000,1075690,1257203,EUR
C Bölge Müdürlüğü,IT-592-060,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910101,2015-02-03,10660000,10660000,11831081,TL
C Bölge Müdürlüğü,IT-592-043,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910101,2015-03-03,10660000,10660000,31830792,TL
A Bölge Müdürlüğü,IT-592-006,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-08-18,5330000,5330000,11081506,TL
A Bölge Müdürlüğü,IT-592-024,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-04-10,231158,231158,1094818,TL
D Bölge Müdürlüğü,IT-592-082,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-05-26,660000,660000,1320073,TL
B Bölge Müdürlüğü,IT-592-074,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-10-02,144000,144000,30779,TL
A Bölge Müdürlüğü,IT-592-011,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-10-23,1400000,1400000,4057613,TL
C Bölge Müdürlüğü,IT-592-070,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-10-28,1926007,1926007,431952,TL
A Bölge Müdürlüğü,IT-592-011,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-10-28,1956812,1956812,278814,TL
A Bölge Müdürlüğü,IT-592-072,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-11-02,246000,246000,618462,TL
A Bölge Müdürlüğü,IT-592-037,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-11-02,206000,206000,263647,TL
A Bölge Müdürlüğü,IT-592-053,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-11-13,302000,302000,404595,TL
A Bölge Müdürlüğü,IT-592-053,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-11-24,571000,571000,836448,TL
D Bölge Müdürlüğü,IT-592-052,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-12-07,151000,151000,195438,TL
B Bölge Müdürlüğü,IT-592-079,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-12-07,158000,158000,60980,TL
D Bölge Müdürlüğü,IT-592-093,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2015-12-08,122000,122000,144244,TL
D Bölge Müdürlüğü,IT-592-014,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-02-03,251000,251000,747132,TL
D Bölge Müdürlüğü,IT-592-041,Ticari,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910121,2016-03-30,1100000,1100000,1672277,TL
